"","P.value","Term","time_point"
"KEGG_LINOLEIC_ACID_METABOLISM",3.47928723617375e-05,"KEGG_LINOLEIC_ACID_METABOLISM",6
"KEGG_RENAL_CELL_CARCINOMA",0.000995156706017777,"KEGG_RENAL_CELL_CARCINOMA",6
"KEGG_DORSO_VENTRAL_AXIS_FORMATION",0.00180540573609052,"KEGG_DORSO_VENTRAL_AXIS_FORMATION",6
"KEGG_RIBOSOME",0.00259093360076472,"KEGG_RIBOSOME",6
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",0.0027892707381432,"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",6
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.00310232075480066,"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",6
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",0.00335582569636861,"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",6
"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",0.00344613748450091,"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",6
"KEGG_COLORECTAL_CANCER",0.00378496249092067,"KEGG_COLORECTAL_CANCER",6
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.0040399568093915,"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",6
