"","P.value","Term","time_point"
"KEGG_NITROGEN_METABOLISM",0.000143464706299877,"KEGG_NITROGEN_METABOLISM",6
"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",0.00133858458708238,"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",6
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",0.00309827992480165,"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",6
"KEGG_HOMOLOGOUS_RECOMBINATION",0.00336499374209245,"KEGG_HOMOLOGOUS_RECOMBINATION",6
"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",0.00426162779350286,"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",6
"KEGG_PPAR_SIGNALING_PATHWAY",0.00597905001722353,"KEGG_PPAR_SIGNALING_PATHWAY",6
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",0.00733612647875039,"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",6
"KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.00837846940458509,"KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY",6
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES",0.00910302539298892,"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES",6
"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION",0.0109334471368552,"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION",6
